amount,channel_CARD_HOST,channel_CARD_PHONE,channel_CARD_RECURRING,channel_CARD_STORE,channel_CARD_WEB,channel_CASH_IN,channel_CASH_OUT,channel_DEBIT,channel_PAYMENT,channel_TRANSFER,source_dataset_IEEE-CIS,source_dataset_PaySim,is_fraud
0.0006431884261818,0,1,0,0,0,0,0,0,0,0,1,0,0
0.1796726757214028,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0003345793144011,0,0,0,0,1,0,0,0,0,0,1,0,0
0.1096542670029773,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0010265917215096,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0003627414021229,0,0,0,1,0,0,0,0,0,0,1,0,0
0.4581049314609994,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0005579542211811,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3210159190070407,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0001895201506437,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3217669980429894,0,0,0,0,0,0,0,0,1,0,0,1,0
0.0001068829659051,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0007082489777868,0,0,0,0,1,0,0,0,0,0,1,0,0
0.863702361948376,0,0,0,0,0,0,0,0,0,1,0,1,1
0.5024424663922205,0,0,0,0,0,1,0,0,0,0,0,1,0
0.312754423582523,0,0,0,0,0,0,0,0,0,1,0,1,0
0.4371895690785055,0,0,0,0,0,0,0,0,0,1,0,1,0
0.2340527841251838,0,0,0,0,0,0,0,0,1,0,0,1,0
2.493139451573727e-06,0,0,1,0,0,0,0,0,0,0,1,0,0
0.0008607563956558,0,0,0,1,0,0,0,0,0,0,1,0,0
0.3455522963528382,0,0,0,0,0,0,0,0,1,0,0,1,0
0.0001004423556552,0,0,0,0,1,0,0,0,0,0,1,0,0
0.000464658865287,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0004251218288175,0,0,0,0,1,0,0,0,0,0,1,0,1
0.0005187807675482,0,0,0,0,1,0,0,0,0,0,1,0,0
0.3355789075000594,0,0,0,0,0,0,0,0,1,0,0,1,0
0.0006368205324992,0,0,0,0,1,0,0,0,0,0,1,0,0
0.4863230628799895,0,0,0,0,0,0,0,1,0,0,0,1,0
0.282983824615119,0,0,0,0,0,1,0,0,0,0,0,1,0
0.4307537892862941,0,0,0,0,0,0,0,1,0,0,0,1,0
0.3233365747608897,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0981897210561312,0,0,0,0,0,0,1,0,0,0,0,1,0
0.45563641176151,0,0,0,0,0,0,0,1,0,0,0,1,0
0.2084395990740895,0,0,0,0,0,0,0,0,0,1,0,1,0
0.0009569708023244,0,0,0,1,0,0,0,0,0,0,1,0,0
0.3106596982033918,0,0,0,0,0,0,0,0,1,0,0,1,0
0.0005630028285705,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0004327882326311,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0005116857081923,0,0,0,1,0,0,0,0,0,0,1,0,0
0.3341635937857252,0,0,0,0,0,1,0,0,0,0,0,1,0
0.2006709661549047,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0008585541224736,0,0,0,1,0,0,0,0,0,0,1,0,0
0.2607654956148273,0,0,0,0,0,0,0,1,0,0,0,1,0
0.3421933622863003,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0006050537806537,0,1,0,0,0,0,0,0,0,0,1,0,0
0.2664020580035126,0,0,0,0,0,0,0,0,0,1,0,1,0
0.3839887883518862,0,0,0,0,0,0,0,0,1,0,0,1,0
0.159009587887165,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0902497886804612,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0006201684385789,0,0,0,1,0,0,0,0,0,0,1,0,0
0.000535734115819,0,1,0,0,0,0,0,0,0,0,1,0,0
0.3523494567085552,0,0,0,0,0,0,0,0,1,0,0,1,0
0.0006361453072311,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0782640103789395,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0791228138153583,0,0,0,0,0,0,0,0,0,1,0,1,0
0.0009088739870712,0,0,1,0,0,0,0,0,0,0,1,0,0
0.0006242925067551,1,0,0,0,0,0,0,0,0,0,1,0,0
0.0003405109086797,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0009614792294994,0,0,0,0,1,0,0,0,0,0,1,0,0
0.4581794451663583,0,0,0,0,0,0,1,0,0,0,0,1,0
0.001016338685515,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3097294143812801,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0003198801797179,1,0,0,0,0,0,0,0,0,0,1,0,0
0.0004936727756547,0,1,0,0,0,0,0,0,0,0,1,0,0
0.000962486873361,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0003141875113035,0,0,1,0,0,0,0,0,0,0,1,0,0
0.4497052953347024,0,0,0,0,0,0,0,0,0,1,0,1,0
0.0009634114125743,0,1,0,0,0,0,0,0,0,0,1,0,0
0.4966595359415658,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0010292822345011,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0007054753601469,0,1,0,0,0,0,0,0,0,0,1,0,0
0.1181188390239068,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0006583965768364,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0008715080595407,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0705317669076666,0,0,0,0,0,0,0,0,1,0,0,1,0
